# Airfoil: NACA_64-212
# Reynolds: 1000000
# Mach: 0.25
# Ncrit: 9.0
alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
-5.00,-0.350000,0.013025,0.007815,-0.035000,0.9050,0.8550
-4.50,-0.295000,0.011251,0.006751,-0.036500,0.9050,0.8550
-4.00,-0.240000,0.009780,0.005868,-0.038000,0.9050,0.8550
-3.50,-0.185000,0.008611,0.005167,-0.039500,0.9050,0.8550
-3.00,-0.130000,0.007745,0.004647,-0.041000,0.9050,0.8550
-2.50,-0.075000,0.007181,0.004309,-0.042500,0.9050,0.8550
-2.00,-0.020000,0.006920,0.004152,-0.044000,0.9050,0.8550
-1.50,0.035000,0.006961,0.004177,-0.045500,0.9050,0.8550
-1.00,0.090000,0.007305,0.004383,-0.047000,0.9050,0.8550
-0.50,0.145000,0.007951,0.004771,-0.048500,0.9050,0.8550
0.00,0.200000,0.008900,0.005340,-0.050000,0.9050,0.8550
0.50,0.255000,0.010151,0.006091,-0.051500,0.9050,0.8550
1.00,0.310000,0.011705,0.007023,-0.053000,0.9050,0.8550
1.50,0.365000,0.013561,0.008137,-0.054500,0.9050,0.8550
2.00,0.420000,0.015720,0.009432,-0.056000,0.9050,0.8550
2.50,0.475000,0.018181,0.010909,-0.057500,0.9050,0.8550
3.00,0.530000,0.020945,0.012567,-0.059000,0.9050,0.8550
3.50,0.585000,0.024011,0.014407,-0.060500,0.9050,0.8550
4.00,0.640000,0.027380,0.016428,-0.062000,0.9050,0.8550
4.50,0.695000,0.031051,0.018631,-0.063500,0.9050,0.8550
5.00,0.750000,0.035025,0.021015,-0.065000,0.9050,0.8550
5.50,0.805000,0.039301,0.023581,-0.066500,0.9050,0.8550
6.00,0.860000,0.043880,0.026328,-0.068000,0.9050,0.8550
6.50,0.915000,0.048761,0.029257,-0.069500,0.9050,0.8550
7.00,0.970000,0.053945,0.032367,-0.071000,0.9050,0.8550
7.50,1.025000,0.059431,0.035659,-0.072500,0.9050,0.8550
8.00,1.080000,0.065220,0.039132,-0.074000,0.9050,0.8550
8.50,1.135000,0.071311,0.042787,-0.075500,0.9050,0.8550
9.00,1.190000,0.077705,0.046623,-0.077000,0.9050,0.8550
9.50,1.245000,0.084401,0.050641,-0.078500,0.9050,0.8550
10.00,1.300000,0.091400,0.054840,-0.080000,0.9050,0.8550
10.50,1.355000,0.098701,0.059221,-0.081500,0.9050,0.8550
11.00,1.410000,0.106305,0.063783,-0.083000,0.9050,0.8550
11.50,1.465000,0.114211,0.068527,-0.084500,0.9050,0.8550
12.00,1.520000,0.122420,0.073452,-0.086000,0.9050,0.8550
12.50,1.575000,0.130931,0.078559,-0.087500,0.9050,0.8550
13.00,1.600000,0.134900,0.080940,-0.089000,0.9050,0.8550
13.50,1.600000,0.134900,0.080940,-0.090500,0.9050,0.8550
14.00,1.600000,0.134900,0.080940,-0.092000,0.9050,0.8550
14.50,1.600000,0.134900,0.080940,-0.093500,0.9050,0.8550
15.00,1.600000,0.134900,0.080940,-0.095000,0.9050,0.8550
