# Airfoil: NACA_64-212
# Reynolds: 6000000
# Mach: 0.25
# Ncrit: 9.0
alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
-5.00,-0.350000,0.012525,0.007515,-0.035000,0.9300,0.8800
-4.50,-0.295000,0.010751,0.006451,-0.036500,0.9300,0.8800
-4.00,-0.240000,0.009280,0.005568,-0.038000,0.9300,0.8800
-3.50,-0.185000,0.008111,0.004867,-0.039500,0.9300,0.8800
-3.00,-0.130000,0.007245,0.004347,-0.041000,0.9300,0.8800
-2.50,-0.075000,0.006681,0.004009,-0.042500,0.9300,0.8800
-2.00,-0.020000,0.006420,0.003852,-0.044000,0.9300,0.8800
-1.50,0.035000,0.006461,0.003877,-0.045500,0.9300,0.8800
-1.00,0.090000,0.006805,0.004083,-0.047000,0.9300,0.8800
-0.50,0.145000,0.007451,0.004471,-0.048500,0.9300,0.8800
0.00,0.200000,0.008400,0.005040,-0.050000,0.9300,0.8800
0.50,0.255000,0.009651,0.005791,-0.051500,0.9300,0.8800
1.00,0.310000,0.011205,0.006723,-0.053000,0.9300,0.8800
1.50,0.365000,0.013061,0.007837,-0.054500,0.9300,0.8800
2.00,0.420000,0.015220,0.009132,-0.056000,0.9300,0.8800
2.50,0.475000,0.017681,0.010609,-0.057500,0.9300,0.8800
3.00,0.530000,0.020445,0.012267,-0.059000,0.9300,0.8800
3.50,0.585000,0.023511,0.014107,-0.060500,0.9300,0.8800
4.00,0.640000,0.026880,0.016128,-0.062000,0.9300,0.8800
4.50,0.695000,0.030551,0.018331,-0.063500,0.9300,0.8800
5.00,0.750000,0.034525,0.020715,-0.065000,0.9300,0.8800
5.50,0.805000,0.038801,0.023281,-0.066500,0.9300,0.8800
6.00,0.860000,0.043380,0.026028,-0.068000,0.9300,0.8800
6.50,0.915000,0.048261,0.028957,-0.069500,0.9300,0.8800
7.00,0.970000,0.053445,0.032067,-0.071000,0.9300,0.8800
7.50,1.025000,0.058931,0.035359,-0.072500,0.9300,0.8800
8.00,1.080000,0.064720,0.038832,-0.074000,0.9300,0.8800
8.50,1.135000,0.070811,0.042487,-0.075500,0.9300,0.8800
9.00,1.190000,0.077205,0.046323,-0.077000,0.9300,0.8800
9.50,1.245000,0.083901,0.050341,-0.078500,0.9300,0.8800
10.00,1.300000,0.090900,0.054540,-0.080000,0.9300,0.8800
10.50,1.355000,0.098201,0.058921,-0.081500,0.9300,0.8800
11.00,1.410000,0.105805,0.063483,-0.083000,0.9300,0.8800
11.50,1.465000,0.113711,0.068227,-0.084500,0.9300,0.8800
12.00,1.520000,0.121920,0.073152,-0.086000,0.9300,0.8800
12.50,1.575000,0.130431,0.078259,-0.087500,0.9300,0.8800
13.00,1.600000,0.134400,0.080640,-0.089000,0.9300,0.8800
13.50,1.600000,0.134400,0.080640,-0.090500,0.9300,0.8800
14.00,1.600000,0.134400,0.080640,-0.092000,0.9300,0.8800
14.50,1.600000,0.134400,0.080640,-0.093500,0.9300,0.8800
15.00,1.600000,0.134400,0.080640,-0.095000,0.9300,0.8800
