# Airfoil: NACA_64-212
# Reynolds: 9000000
# Mach: 0.25
# Ncrit: 9.0
alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
-5.00,-0.350000,0.012225,0.007335,-0.035000,0.9450,0.8950
-4.50,-0.295000,0.010451,0.006271,-0.036500,0.9450,0.8950
-4.00,-0.240000,0.008980,0.005388,-0.038000,0.9450,0.8950
-3.50,-0.185000,0.007811,0.004687,-0.039500,0.9450,0.8950
-3.00,-0.130000,0.006945,0.004167,-0.041000,0.9450,0.8950
-2.50,-0.075000,0.006381,0.003829,-0.042500,0.9450,0.8950
-2.00,-0.020000,0.006120,0.003672,-0.044000,0.9450,0.8950
-1.50,0.035000,0.006161,0.003697,-0.045500,0.9450,0.8950
-1.00,0.090000,0.006505,0.003903,-0.047000,0.9450,0.8950
-0.50,0.145000,0.007151,0.004291,-0.048500,0.9450,0.8950
0.00,0.200000,0.008100,0.004860,-0.050000,0.9450,0.8950
0.50,0.255000,0.009351,0.005611,-0.051500,0.9450,0.8950
1.00,0.310000,0.010905,0.006543,-0.053000,0.9450,0.8950
1.50,0.365000,0.012761,0.007657,-0.054500,0.9450,0.8950
2.00,0.420000,0.014920,0.008952,-0.056000,0.9450,0.8950
2.50,0.475000,0.017381,0.010429,-0.057500,0.9450,0.8950
3.00,0.530000,0.020145,0.012087,-0.059000,0.9450,0.8950
3.50,0.585000,0.023211,0.013927,-0.060500,0.9450,0.8950
4.00,0.640000,0.026580,0.015948,-0.062000,0.9450,0.8950
4.50,0.695000,0.030251,0.018151,-0.063500,0.9450,0.8950
5.00,0.750000,0.034225,0.020535,-0.065000,0.9450,0.8950
5.50,0.805000,0.038501,0.023101,-0.066500,0.9450,0.8950
6.00,0.860000,0.043080,0.025848,-0.068000,0.9450,0.8950
6.50,0.915000,0.047961,0.028777,-0.069500,0.9450,0.8950
7.00,0.970000,0.053145,0.031887,-0.071000,0.9450,0.8950
7.50,1.025000,0.058631,0.035179,-0.072500,0.9450,0.8950
8.00,1.080000,0.064420,0.038652,-0.074000,0.9450,0.8950
8.50,1.135000,0.070511,0.042307,-0.075500,0.9450,0.8950
9.00,1.190000,0.076905,0.046143,-0.077000,0.9450,0.8950
9.50,1.245000,0.083601,0.050161,-0.078500,0.9450,0.8950
10.00,1.300000,0.090600,0.054360,-0.080000,0.9450,0.8950
10.50,1.355000,0.097901,0.058741,-0.081500,0.9450,0.8950
11.00,1.410000,0.105505,0.063303,-0.083000,0.9450,0.8950
11.50,1.465000,0.113411,0.068047,-0.084500,0.9450,0.8950
12.00,1.520000,0.121620,0.072972,-0.086000,0.9450,0.8950
12.50,1.575000,0.130131,0.078079,-0.087500,0.9450,0.8950
13.00,1.600000,0.134100,0.080460,-0.089000,0.9450,0.8950
13.50,1.600000,0.134100,0.080460,-0.090500,0.9450,0.8950
14.00,1.600000,0.134100,0.080460,-0.092000,0.9450,0.8950
14.50,1.600000,0.134100,0.080460,-0.093500,0.9450,0.8950
15.00,1.600000,0.134100,0.080460,-0.095000,0.9450,0.8950
